"seqname","accession","tax_id","species_name","is_type"
"S004062995_Campylobacter_jejuni_subsp._jejuni_PT14_CP003871","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004063998_Campylobacter_jejuni_subsp._jejuni_IA3902_CP001876","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004065835_Campylobacter_jejuni_subsp._jejuni_ICDCCJ07001_CP002029","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004066504_Campylobacter_jejuni_subsp._jejuni_00-2425_CP006729","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004069571_Campylobacter_jejuni_subsp._jejuni_1336_CM000854","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004070991_Campylobacter_jejuni_subsp._jejuni_414_CM000855","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004126549_Campylobacter_jejuni_subsp._jejuni_CG8421_CP005388","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004212174_Campylobacter_jejuni_subsp._jejuni_NCTC_11168-K12E5_CP006685","","192222","Campylobacter jejuni subsp. jejuni NCTC 11168","FALSE"
"S004212274_Campylobacter_jejuni_subsp._jejuni_MTVDSCj20_CP008787","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004218322_Campylobacter_jejuni_CICC_22936_KJ643940","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004221247_Campylobacter_jejuni_HDJ3_KJ777714","","197","Campylobacter jejuni","FALSE"
"S004221250_Campylobacter_jejuni_HDJ6_KJ777717","","197","Campylobacter jejuni","FALSE"
"S004221258_Campylobacter_jejuni_PMJ3_KJ777725","","197","Campylobacter jejuni","FALSE"
"S004443051_Campylobacter_jejuni_subsp._jejuni_00-2538_CP006707","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004443168_Campylobacter_jejuni_subsp._jejuni_F38011_CP006851","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004445531_Campylobacter_jejuni_subsp._jejuni_01-1512_CP010072","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S004446104_Campylobacter_jejuni_subsp._jejuni_35925B2_CP010906","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
